card,card_type,ability,part,timing,attack_side,resolution,affects_self,affects_others,conditional,limit,surge_option,effect,pipelines,notes
Counter Attack,CC,Counter Attack,1,attack:after_resolves,defender,prompt,TRUE,the attacker,you were not defeated and are adjacent to the attacker,None,FALSE,The attacker suffers 2 Damage,damage,None
Covering Fire,CC,Covering Fire,1,start_of_round,None,prompt,TRUE,up to 3 friendly TROOPERS,None,None,FALSE,Play at the start of the round; up to 3 friendly TROOPERS become Hidden,condition,use timing
Covering Fire,CC,Covering Fire,2,always,None,automatic,TRUE,each of your TROOPERS,None,None,FALSE,"During this round each of your TROOPERS gains Surge: Stun, and +2 Hits if target was already Stunned",condition;damage,effect timing
Cripple,CC,Cripple,1,special_action,None,prompt,FALSE,an adjacent hostile figure,None,until the end of the round,FALSE,Choose an adjacent hostile figure; until end of round it cannot voluntarily exit its space,None,None
Cruel Strike,CC,Cruel Strike,1,special_action,None,prompt,TRUE,None,None,None,FALSE,"Perform an attack that gains Surge: Pierce 1, Weaken",damage,None
Crush,CC,Crush,1,during_activation,None,prompt,TRUE,a SMALL figure in your ending space,you end movement in spaces containing one or more other figures,None,FALSE,Choose a SMALL figure in those spaces; it suffers 4 Damage,damage,triggered when ending movement
Cut Lines,CC,Cut Lines,1,start_of_status_phase,None,prompt,TRUE,None,None,during this round,FALSE,Players cannot draw Command cards during this round,cc_draw,used at start of Status Phase
Dangerous Bargains,CC,Dangerous Bargains,1,start_of_round,None,prompt,TRUE,None,you have 30 or fewer VPs,None,FALSE,You and your opponent each gain 3 VPs,vp,None
Dangerous Prey,CC,Dangerous Prey,1,attack:after_resolves,defender,prompt,TRUE,the attacker,you are within 4 spaces of the attacker,None,FALSE,"The attacker suffers 1 Damage (3 if adjacent), then move up to 2 spaces",damage;move;movement,None
Dark Energy,CC,Dark Energy,1,during_activation,None,prompt,FALSE,another SMALL figure within 3,None,None,FALSE,"Choose another SMALL figure within 3 spaces; push it up to 1 space, then it suffers 1 Damage",push;move;damage,None
Data Theft,CC,Data Theft,1,special_action,None,prompt,TRUE,None,None,once during this round,FALSE,Choose a Command card in your opponent's discard pile; once this round you may play it as though in your hand,cc_play,None
De Wanna Wanga,CC,De Wanna Wanga,1,special_action,None,prompt,TRUE,None,None,None,FALSE,Choose 1 Command card in your discard pile and shuffle it into your Command deck,cc_draw,None
De Wanna Wanga,CC,De Wanna Wanga,2,always,None,prompt,TRUE,None,this card is discarded from your hand or deck,once per round,FALSE,Passive: when this card is discarded from hand or deck you may shuffle it into your Command deck,cc_draw;cc_discard,passive
Deadeye,CC,Deadeye,1,during_activation,None,prompt,TRUE,None,None,None,FALSE,Play while attacking to apply +2 Accuracy to the attack results,None,use timing
Deadeye,CC,Deadeye,2,attack:modifiers,attacker,automatic,TRUE,None,None,None,FALSE,Apply +2 Accuracy to the attack results,None,effect timing
Deadly Precision,CC,Deadly Precision,1,start_of_activation,None,prompt,TRUE,None,None,only during this round,FALSE,Play at the start of your activation,None,use timing
Deadly Precision,CC,Deadly Precision,2,attack:modifiers,attacker,automatic,TRUE,None,while attacking during this round,None,FALSE,Apply -1 Dodge to the defense results,None,effect timing
Deathblow,CC,Deathblow,1,attack:on_declare,attacker,automatic,TRUE,None,when you declare a Melee attack,None,FALSE,Apply +1 Hit to the attack results,None,None
Deathblow,CC,Deathblow,2,attack:modifiers,attacker,automatic,FALSE,the attack target,defender has the Ranged attack type,None,FALSE,Apply an additional +1 Hit to the attack results,None,conditional bonus
Debts Repaid,CC,Debts Repaid,1,when_defeated,None,automatic,TRUE,None,when a friendly figure is defeated,None,FALSE,Ready your Deployment card and become Focused,condition;recover,affects a friendly figure being defeated
Definition: 'Love',CC,Definition: 'Love',1,during_activation,attacker,prompt,TRUE,the attack target,target hostile figure 5 or more spaces away,None,FALSE,Perform an attack targeting a hostile figure 5 or more spaces away without spending an action; remove 1 red die from the attack pool,None,extra attack
Deflection,CC,Deflection,1,attack:modifiers,defender,automatic,TRUE,None,when a Ranged attack targeting you is declared,None,FALSE,Apply -2 Accuracy to the attack results,None,use timing
Deflection,CC,Deflection,2,attack:after_resolves,defender,automatic,FALSE,the attacker,when a Ranged attack targeting you is declared,None,FALSE,"After the attack is resolved, the attacker suffers 1 Damage",damage,effect timing
Demoralizing Monologue,CC,Demoralizing Monologue,1,attack:rerolls,attacker,prompt,TRUE,None,None,None,FALSE,Choose and reroll 1 defense die,reroll,None
Demoralizing Monologue,CC,Demoralizing Monologue,2,attack:modifiers,attacker,prompt,TRUE,None,if you reveal 2 or more cards from your hand,None,FALSE,"You may reveal your hand; if you reveal 2 or more cards, remove the chosen die's results from the defense results",cc_play,conditional
Deploy the Garrison,CC,Deploy the Garrison,1,start_of_round,None,prompt,TRUE,each friendly TROOPER or GUARDIAN within 4,None,None,FALSE,Each friendly TROOPER or GUARDIAN within 4 spaces gains 2 movement points or 1 Hit Token,gain_mp;damage_token,None
Desperate Escape,CC,Desperate Escape,1,end_of_round,None,prompt,TRUE,None,None,None,FALSE,Move up to 6 spaces,move;movement,use timing
Desperate Escape,CC,Desperate Escape,2,end_of_round,None,prompt,TRUE,friendly figures,if your Kuiil is defeated,None,FALSE,You may discard this card from your hand to distribute 2 Hit Tokens among friendly figures,cc_discard;damage_token,passive ability
Devotion,CC,Devotion,1,special_action,None,prompt,FALSE,an adjacent friendly figure,adjacent friendly figure chosen,None,FALSE,"Choose an adjacent friendly figure, then search your Command deck and draw 1 card with that figure's name as a trait, reveal it, and shuffle your Command deck",cc_draw,None
Dirty Trick,CC,Dirty Trick,1,during_activation,None,prompt,TRUE,the entering hostile figure,when a hostile figure enters an adjacent space,None,FALSE,That figure must choose to either suffer 3 Strain or become Stunned,strain;condition,reactive trigger
Dioxis Fumes,CC,Dioxis Fumes,1,during_activation,None,automatic,TRUE,each non-DROID figure,None,None,FALSE,Each non-DROID figure suffers 1 Strain,strain,flat 1 Strain (no yellow-die roll) [CHANGED 2026-06-21 IACP update — does not match printed text]
Dioxis Fumes,CC,Dioxis Fumes,2,during_activation,None,automatic,TRUE,non-Droid figures,None,until the end of the round,FALSE,"Until the end of the round, non-Droid figures cannot recover Strain",None,effect window [CHANGED 2026-06-21 IACP update — does not match printed text]
Disable,CC,Disable,1,special_action,None,prompt,FALSE,an adjacent hostile figure,adjacent hostile figure chosen,until the end of that figure's next activation,FALSE,"Until the end of that figure's next activation, that figure cannot use action or surge abilities",None,None
Disarm,CC,Disarm,1,during_activation,None,prompt,FALSE,the adjacent hostile figure,when an adjacent hostile figure becomes Bleeding from your attack,None,FALSE,"Put this card into play, then that figure suffers 1 Damage, becomes Weakened, and can't discard the Weakened condition",cc_play;damage;condition,reactive trigger
Disengage,CC,Disengage,1,during_activation,None,prompt,TRUE,None,when a hostile figure enters a space within 3 spaces of you,None,FALSE,Gain 3 movement points,gain_mp,reactive trigger
Disorient,CC,Disorient,1,during_activation,None,prompt,TRUE,the figure that suffered Damage,after a hostile figure with a BENEFICIAL condition suffers Damage,None,FALSE,"Discard 1 BENEFICIAL condition from that figure, then that figure suffers 2 Strain",condition;strain,reactive trigger
Double or Nothing,CC,Double or Nothing,1,attack:rerolls,attacker,prompt,TRUE,None,rerolled result has same number of symbols as original,None,FALSE,"Choose a die; its controller rerolls it; if the rerolled result has the same number of symbols, you may double or cancel its results",reroll,either side; flagged for attack_side ambiguity
Draw!,CC,Draw!,1,during_activation,attacker,prompt,TRUE,None,None,None,FALSE,Perform an attack without using an action,None,extra attack
Droid Mastery,CC,Droid Mastery,1,during_activation,None,prompt,TRUE,J4X-7,None,None,FALSE,"J4X-7 becomes Focused, then may interrupt to perform an attack; if not in play, put J4X-7 into your space instead",condition;companion_place,None
Dying Lunge,CC,Dying Lunge,1,when_suffers_damage_equal_to_health,attacker,prompt,TRUE,None,when you have suffered Damage equal to your Health before you are defeated,None,FALSE,"Move up to 2 spaces, then perform a Melee attack, then you are defeated",move;movement,self-defeat
Eerie Visage,CC,Eerie Visage,1,special_action,None,automatic,FALSE,each hostile figure with line of sight to you,hostile figure has line of sight to you,None,FALSE,Each hostile figure with line of sight to you suffers 1 Strain and becomes Weakened,strain;condition,None
Efficient Travel,CC,Efficient Travel,1,start_of_round,None,automatic,TRUE,each of your figures,until the end of the round,until the end of the round,FALSE,Each of your figures ignores additional movement point costs for difficult terrain and hostile figures,movement,None
Element of Surprise,CC,Element of Surprise,1,attack:on_declare,attacker,automatic,FALSE,the attack target,target did not have line of sight to you at the start of your activation,None,FALSE,Remove 1 die from the target's defense pool,None,conditional
Elusive,CC,Elusive,1,attack:modifiers,defender,prompt,TRUE,None,None,None,FALSE,"Choose 1 attack die and remove all symbols on it from the attack results, then remove all symbols on a defense die from the defense results",None,while defending
Emergency Aid,CC,Emergency Aid,1,special_action,None,prompt,FALSE,an adjacent figure,adjacent figure chosen,None,FALSE,Choose an adjacent figure; that figure recovers 2 Damage,recover,None
Emergency Aid,CC,Emergency Aid,2,special_action,None,automatic,TRUE,an adjacent figure,if you are a GUARDIAN or LEADER,None,FALSE,"If you are a GUARDIAN or LEADER, that figure recovers an additional 1 Damage",recover,conditional bonus
Endless Reserves,CC,Endless Reserves,1,special_action,None,prompt,TRUE,a defeated friendly TROOPER,defeated friendly TROOPER in a group with another figure,None,FALSE,"Choose a defeated friendly TROOPER and place it in an empty space adjacent to another figure in its group, then shuffle this card back into your Command deck",companion_place,None
Escalating Hostility,CC,Escalating Hostility,1,attack:after_resolves,attacker,automatic,FALSE,the defender,after you resolve an attack that did not miss,None,FALSE,"The defender suffers 1 Strain, plus an additional 1 Strain for each other Escalating Hostility Command card in your discard pile",strain,None
Espionage Mastery,CC,Espionage Mastery,1,during_activation,None,prompt,TRUE,None,after you resolve Interrogate,None,FALSE,"Return your discarded Command card to your hand, then draw 1 card",cc_draw,reactive trigger
Etiquette and Protocol,CC,Etiquette and Protocol,1,special_action,None,prompt,FALSE,1 hostile and 1 friendly figure in your line of sight,both figures in your line of sight,until the end of the round,FALSE,"Until the end of the round, the chosen figures cannot declare attacks targeting each other",None,None
Evacuate,CC,Evacuate,1,special_action,None,prompt,TRUE,a friendly figure within 2 spaces,friendly figure within 2 spaces,None,FALSE,That friendly figure is defeated; your opponent gains only half the VPs they would normally gain (rounded down),vp,None
Explosive Weaponry,CC,Explosive Weaponry,1,attack:on_declare,attacker,automatic,TRUE,None,when you declare an attack,None,FALSE,This attack gains Blast 1,None,None
Expose Weakness,CC,Expose Weakness,1,during_activation,None,prompt,FALSE,an adjacent hostile figure,must be an adjacent hostile figure,None,FALSE,Choose an adjacent hostile figure; the next attack targeting that figure gains Pierce 3,None,use timing
Expose Weakness,CC,Expose Weakness,2,attack:modifiers,attacker,automatic,TRUE,the chosen figure,the next attack targeting the chosen figure,None,FALSE,The next attack targeting that figure gains Pierce 3,damage,effect timing
Extra Protection,CC,Extra Protection,1,when_suffers_damage,None,prompt,FALSE,another friendly figure within 2,another friendly figure within 2 suffers 3 or more Damage,None,FALSE,Use when another friendly figure within 2 suffers 3 or more Damage,None,use timing
Extra Protection,CC,Extra Protection,2,during_activation,None,prompt,TRUE,the attack target,None,None,FALSE,Move up to 2 spaces then perform an attack,movement;move,effect
Eyes on the Prize,CC,Eyes on the Prize,1,start_of_round,None,prompt,TRUE,each friendly figure carrying or controlling a crate or mission token,your affiliation is Scum and figure carries or controls a crate or mission token,None,FALSE,"Each qualifying friendly figure may recover 1 Damage, gain 1 Block Token, or discard 1 HARMFUL condition",recover;gain_pt;condition,None
Face Me!,CC,Face Me!,1,special_action,None,prompt,FALSE,a unique hostile figure with line of sight,a unique hostile figure with line of sight to you,None,FALSE,"Push that figure spaces equal to its speed to a space adjacent to you, then attack it",push;move,None
Face to Face,CC,Face to Face,1,special_action,None,prompt,FALSE,an adjacent figure or object,None,None,FALSE,Move up to 2 spaces then perform an attack targeting an adjacent figure or object,movement;move,None
Fatal Deception,CC,Fatal Deception,1,start_of_activation,None,prompt,TRUE,a figure with figure cost 5 or less within 5,using False Orders this round and target figure cost 5 or less within 5,None,FALSE,When you use False Orders this round you may choose a figure with figure cost 5 or less within 5 spaces,None,None
Feint,CC,Feint,1,attack:modifiers,attacker,prompt,TRUE,a figure within 2 spaces,attacking a figure within 2 spaces,None,FALSE,Choose 1 attack die and 1 defense die and remove their results,None,None
Feral Swipes,CC,Feral Swipes,1,special_action,None,prompt,TRUE,None,None,None,FALSE,"For each die in your attack pool, perform a Melee attack using 1 red die",None,None
Ferocity,CC,Ferocity,1,end_of_round,None,prompt,TRUE,one of your or your opponent's CREATURES,None,None,FALSE,Choose 1 of your or your opponent's CREATURES and perform 1 attack with that figure,None,None
Field Promotion,CC,Field Promotion,1,attack:after_resolves,attacker,automatic,TRUE,None,attack defeated the figure and your affiliation is REBEL or IMPERIAL,None,FALSE,Gain 4 VPs and increase your figure cost by 2,vp,None
Field Supply,CC,Field Supply,1,start_of_round,None,prompt,FALSE,up to 2 other figures within 3,None,None,FALSE,Up to 2 other figures within 3 spaces gain 1 Hit Token or 1 Surge Token,None,use timing
Field Supply,CC,Field Supply,2,attack:rerolls,attacker,prompt,TRUE,a friendly figure who spends a Hit Token or Surge Token,a friendly figure spends a Hit Token or Surge Token this round,None,FALSE,A friendly figure who spends a Hit Token or Surge Token may reroll 1 attack die during that attack,reroll,effect
Field Tactician,CC,Field Tactician,1,special_action,None,prompt,TRUE,a friendly figure within 2,None,None,FALSE,Choose a friendly figure within 2 spaces; that figure may interrupt to perform a move,movement;move,None
Final Stand,CC,Final Stand,1,when_suffers_damage_equal_to_health,None,prompt,TRUE,a friendly figure within 3,a friendly figure within 3 suffered damage equal to its Health before defeat,None,FALSE,"Move up to 2 spaces, gain 1 Power Token, perform an attack, then that friendly figure is defeated",movement;move;gain_pt,None
Findsman Meditation,CC,Findsman Meditation,1,start_of_round,None,prompt,TRUE,one of your opponent's groups,None,None,FALSE,Choose one of your opponent's groups,None,use timing
Findsman Meditation,CC,Findsman Meditation,2,during_activation,None,prompt,TRUE,None,opponent activates the chosen group this round,None,FALSE,When opponent activates that group you may interrupt to perform a move or an attack,movement;move,effect
Fleet Footed,CC,Fleet Footed,1,during_activation,None,automatic,TRUE,None,None,None,FALSE,Gain 1 movement point,gain_mp,None
Flurry of Blades,CC,Flurry of Blades,1,special_action,None,prompt,TRUE,None,None,None,FALSE,Perform 3 attacks,None,None
Focus,CC,Focus,1,special_action,None,automatic,TRUE,None,None,None,FALSE,You become Focused,condition,None
Fool Me Once,CC,Fool Me Once,1,during_activation,None,prompt,TRUE,None,None,None,FALSE,"Return your opponent's Command discard pile to the game box; if you are a SPY, draw 1 Command card",cc_draw,cost is 2 Strain
Forbidden Knowledge,CC,Forbidden Knowledge,1,start_of_activation,None,prompt,TRUE,None,None,None,FALSE,"Draw 1 Command card, then discard 1 or more Command cards; recover 1 Damage, gain 1 movement point, and discard 1 HARMFUL condition for each card discarded",cc_draw;cc_discard;recover;gain_mp;condition,None
Force Drain,CC,Force Drain,1,special_action,None,prompt,FALSE,a hostile figure within 2,None,None,FALSE,Chosen hostile figure within 2 suffers 3 Damage and becomes Stunned and Weakened,damage;condition,None
Force Drain,CC,Force Drain,2,special_action,None,automatic,TRUE,None,the chosen figure is a FORCE USER,None,FALSE,"If that figure is a FORCE USER, you recover 3 Damage",recover,None
Force Illusion,CC,Force Illusion,1,attack:modifiers,defender,prompt,TRUE,the defender,a hostile figure in your line of sight is attacking,None,FALSE,The defender becomes Hidden,condition,None
Force Jump,CC,Force Jump,1,special_action,None,prompt,TRUE,None,None,None,FALSE,Move up to 5 spaces gaining MOBILE; cannot end in blocking or impassable terrain,movement;move,None
Force Lightning,CC,Force Lightning,1,special_action,None,prompt,FALSE,a hostile figure within 2 and each figure adjacent to it,a hostile figure in your line of sight within 2 spaces,None,FALSE,Chosen figure and each figure adjacent to it suffers 2 Damage and becomes Stunned,damage;condition,None
Force Push,CC,Force Push,1,during_activation,None,prompt,FALSE,another SMALL figure within 3,another SMALL figure within 3 spaces,None,FALSE,Push that figure up to 2 spaces,push;move,None
Force Rush,CC,Force Rush,1,start_of_activation,None,automatic,TRUE,None,None,None,FALSE,You gain 2 movement points,gain_mp,None
Force Surge,CC,Force Surge,1,end_of_activation,None,prompt,FALSE,an adjacent hostile figure,None,None,FALSE,"Move up to 1 space, then chosen adjacent hostile figure suffers 2 Damage and 1 Strain",movement;move;damage;strain,None
Foresee,CC,Foresee,1,during_activation,None,prompt,TRUE,None,discarded card cost is 1 or less to draw,None,FALSE,"Look at top 2 Command cards of opponent's deck, discard 1; if its cost is 1 or less, draw 1 Command card",cc_discard;cc_draw,None
Forward March,CC,Forward March,1,during_activation,None,automatic,TRUE,each friendly figure within 2,None,None,FALSE,Each friendly figure within 2 spaces gains 1 movement point,gain_mp,None
Fuel Upgrade,CC,Fuel Upgrade,1,start_of_round,None,automatic,TRUE,each of your VEHICLES,None,until end of round,FALSE,Each of your VEHICLES gains +1 Speed and applies +1 Evade to defense results until end of round,None,None
Furious Charge,CC,Furious Charge,1,attack:after_resolves,defender,automatic,TRUE,None,an attack targeting you resolved and you suffered 3 or more Damage,None,FALSE,Ready your Deployment card,recover,None
Gauntlet Blade,CC,Gauntlet Blade,1,attack:after_resolves,defender,prompt,FALSE,an adjacent hostile figure,attack targeting you resolved,None,FALSE,"Choose an adjacent hostile figure and roll 1 green die; that figure suffers Damage equal to the Hit results, then if you rolled a Surge gain a Block Token",damage;gain_pt,None
Get Behind Me!,CC,Get Behind Me!,1,attack:on_declare,defender,prompt,TRUE,a friendly small figure within 3,played by a GUARDIAN or a Rebel melee FORCE USER; attack declared targeting another friendly small figure with cost 10 or less within 3 spaces,None,FALSE,Move up to 3 spaces adjacent to that figure and the attack targets you instead if able,movement;move,Eligible figure restricted to a GUARDIAN or a Rebel FORCE USER whose attack type is MELEE [CHANGED 2026-06-21 IACP update — does not match printed text]
Glory of the Kill,CC,Glory of the Kill,1,attack:after_resolves,attacker,automatic,TRUE,None,the defender was defeated,None,FALSE,Recover 3 Damage,recover,None
Grenadier,CC,Grenadier,1,special_action,None,prompt,FALSE,each figure on or adjacent to the chosen space,None,None,FALSE,Choose a space within 3 spaces and roll 1 red die; each figure on or adjacent suffers Damage equal to the Hit results,damage,None
Grisly Contest,CC,Grisly Contest,1,during_activation,None,prompt,TRUE,an adjacent hostile figure,None,None,FALSE,"An adjacent hostile figure suffers 2 Damage, then you suffer 2 Strain",damage;strain,None
Guardian Stance,CC,Guardian Stance,1,attack:rerolls,None,prompt,FALSE,an adjacent friendly figure,an adjacent friendly figure is defending,None,FALSE,Reroll 1 or more attack or defense dice,reroll,None
Guerilla Warfare,CC,Guerilla Warfare,1,start_of_round,None,automatic,FALSE,each friendly figure with no other friendly figures within 2 spaces,friendly figure has no other friendly figures within 2 spaces,None,FALSE,Each qualifying friendly figure gains 1 Block token and becomes Hidden,condition,None
Guild Programming,CC,Guild Programming,1,during_activation,None,automatic,TRUE,None,"performing ""Rapid Fire""",None,FALSE,"Before you declare each attack of Rapid Fire, you become Focused",condition,None
Hard to Hit,CC,Hard to Hit,1,attack:rerolls,defender,prompt,TRUE,None,None,None,FALSE,Reroll 1 defense die,reroll,None
Harsh Environment,CC,Harsh Environment,1,start_of_round,None,prompt,TRUE,None,None,None,FALSE,Play at the start of a round,None,use timing
Harsh Environment,CC,Harsh Environment,2,attack:modifiers,defender,automatic,TRUE,all figures,terrain location of defending figure,None,FALSE,"Until end of round, figures on exterior spaces apply -1 Evade to defense results and figures not on exterior spaces apply +1 Block to defense results",None,effect timing
Heart of Freedom,CC,Heart of Freedom,1,start_of_activation,None,prompt,TRUE,None,None,None,FALSE,"Discard 1 HARMFUL condition, recover 2 Damage, and gain 2 movement points",condition;recover;gain_mp;movement,None
Heavy Armor,CC,Heavy Armor,1,attack:modifiers,defender,automatic,TRUE,None,None,None,FALSE,"During this attack, the Pierce keyword has no effect",None,None
Heavy Ordnance,CC,Heavy Ordnance,1,attack:modifiers,attacker,automatic,TRUE,None,None,None,FALSE,Apply +1 Hit; if the defender is an object apply +2 Hit and Pierce 2 instead,None,None
Heightened Reflexes,CC,Heightened Reflexes,1,attack:modifiers,attacker,prompt,TRUE,the attack target,attacking a figure,None,FALSE,Choose 1 defense die and remove its results from the defense results,None,None
Hidden Trap,CC,Hidden Trap,1,special_action,None,prompt,FALSE,each figure adjacent to the chosen terminal,None,None,FALSE,Choose a terminal; each figure adjacent to it suffers 2 Damage,damage,None
Hide in Plain Sight,CC,Hide in Plain Sight,1,special_action,None,automatic,TRUE,None,None,None,FALSE,"Until the end of the round, you cannot be the target of an attack",None,None
Hit and Run,CC,Hit and Run,1,special_action,None,prompt,TRUE,None,None,None,FALSE,Perform an attack; after it resolves gain 3 movement points,gain_mp;movement,None
Hold Ground,CC,Hold Ground,1,special_action,None,automatic,FALSE,SMALL hostile figures adjacent to you,None,None,FALSE,"Until the end of the round, SMALL hostile figures cannot voluntarily exit spaces adjacent to you",None,None
Honoring the Fallen,CC,Honoring the Fallen,1,attack:on_declare,attacker,automatic,TRUE,None,currently defeated friendly figures exist,None,FALSE,"Apply +1 Hit for each currently defeated friendly figure, to a maximum of +3 Hits",None,None
Hostile Negotiation,CC,Hostile Negotiation,1,during_activation,None,prompt,TRUE,None,None,None,FALSE,"Discard a random Command card from your hand; if you do, your opponent discards 2 random cards from their hand",cc_discard,None
Hour of Need,CC,Hour of Need,1,during_activation,None,automatic,TRUE,None,None,None,FALSE,You recover Damage equal to the current round number,recover,None
Hunt Them Down,CC,Hunt Them Down,1,attack:on_declare,attacker,automatic,TRUE,None,"declaring ""Lightsaber Throw""",None,FALSE,Apply +2 Accuracy and the attack gains Cleave 2,None,None
Hunter Protocol,CC,Hunter Protocol,1,attack:modifiers,attacker,prompt,TRUE,None,None,None,FALSE,You may trigger the same Surge ability up to twice,None,None
I Can Feel It,CC,I Can Feel It,1,attack:rerolls,defender,prompt,TRUE,None,None,None,FALSE,Reroll 1 defense die,reroll,multiple timing windows
I Can Feel It,CC,I Can Feel It,2,attack:rerolls,attacker,prompt,TRUE,None,None,None,FALSE,Reroll 1 attack die,reroll,multiple timing windows
I Can Feel It,CC,I Can Feel It,3,special_action,None,prompt,TRUE,None,None,None,FALSE,Gain 1 VP,vp,multiple timing windows
I Make My Own Luck,CC,I Make My Own Luck,1,start_of_round,None,automatic,TRUE,None,None,None,FALSE,Your player claims the initiative token and Han Solo must activate first this round,None,None
Iron Will,CC,Iron Will,1,attack:on_declare,defender,automatic,TRUE,None,attack targeting you declared,None,FALSE,You cannot suffer more than 3 Damage from that attack,None,None
Jump Jets,CC,Jump Jets,1,special_action,None,prompt,TRUE,None,None,None,FALSE,Place your figure in an empty space within 5 spaces,companion_place,None
Jundland Terror,CC,Jundland Terror,1,end_of_round,None,prompt,TRUE,"a chosen ""Tusken Raider"" or ""Bantha Rider"" figure",None,None,FALSE,Chosen figure gains 2 movement points and may interrupt to perform an attack or Special Action,gain_mp;movement,None
Just Business,CC,Just Business,1,start_of_round,None,prompt,TRUE,None,None,None,FALSE,Play at the start of the round,None,use timing
Just Business,CC,Just Business,2,attack:rerolls,attacker,automatic,TRUE,friendly Scum figures within 3 spaces,friendly Scum figure within 3 spaces of you,None,FALSE,"During this round, friendly Scum figures within 3 gain Professional (may reroll 1 attack die while attacking)",reroll,effect timing
Karabast!,CC,Karabast!,1,during_activation,None,prompt,FALSE,hostile figures within 2 spaces,Damage you have suffered,None,FALSE,"For each Damage you have suffered, choose a hostile figure within 2 spaces; each chosen figure suffers 1 Damage",damage,None
Knowledge and Defense,CC,Knowledge and Defense,1,attack:on_declare,defender,automatic,TRUE,None,None,None,FALSE,Add 1 black die to your defense pool,None,adds a die to the pool -> on_declare (alexanbv 2026-06-16)
Knowledge and Defense,CC,Passive,2,spend_surges,attacker,prompt,TRUE,None,While this card is in your discard pile and the figure is a Force User,None,TRUE,Re-draw this card,cc_draw,passive surge granted to Force Users
Learn by Example,CC,Learn by Example,1,during_activation,None,prompt,TRUE,None,A Force User Command card exists in a discard pile,None,FALSE,"Play this card as a copy of a Force User Command card in any discard pile, ignoring faction restrictions",cc_play,timing window not specified on card; treated as play action
Let's Make a Deal,CC,Let's Make a Deal,1,attack:modifiers,defender,prompt,TRUE,None,You have VPs to pay,None,FALSE,"Pay your opponent X VPs to apply -X Hits to the attack results, then you become Focused",vp;condition,None
Lightbow,CC,Lightbow,1,special_action,None,prompt,TRUE,the attack target,None,None,FALSE,"Perform a Ranged attack using 1 blue, 1 red, and 1 green die using only +2 Accuracy, Surge +1 Hit, Surge Pierce 4",damage,None
Lock On,CC,Lock On,1,attack:modifiers,attacker,prompt,TRUE,the attack target,None,None,FALSE,"Apply +3 Accuracy, or -1 Dodge, or -1 Evade to the results",None,None
Lure of the Dark Side,CC,Lure of the Dark Side,1,special_action,None,prompt,FALSE,a hostile figure in your line of sight,None,None,FALSE,"Choose a hostile figure in line of sight; it gains +2 Hit Tokens, then perform an attack with that figure against a target within 4, then the chosen figure suffers 2 Strain",damage_token;damage;strain,None
Negation,CC,Negation,1,when_opponent_plays_cc,None,prompt,TRUE,None,Opponent played a Command card with a cost of 0,None,FALSE,Discard that card and cancel its effects,cc_discard,None
Marksman,CC,Marksman,1,attack:on_declare,attacker,automatic,TRUE,None,Before declaring a Ranged attack,None,FALSE,Figures do not block line of sight for this attack,None,None
Ready Weapons,CC,Ready Weapons,1,special_action,None,prompt,TRUE,figures in your group,None,None,FALSE,Distribute 3 Hit Tokens among figures in your group,damage_token,None
Size Advantage,CC,Size Advantage,1,special_action,None,prompt,TRUE,the attack target,target is a Small figure,None,FALSE,"Perform an attack targeting a Small figure, apply +2 Hit to the results and the attack gains Weaken",damage;condition,None
Smoke Grenade,CC,Smoke Grenade,1,special_action,None,prompt,TRUE,a friendly figure within 2 of the chosen space,None,None,FALSE,"Choose a space within 2 and place 1 smoke token, then a friendly figure within 2 of that space gains 2 movement points; discard the smoke token at the end of the next round",gain_mp,None
Take Cover,CC,Take Cover,1,special_action,None,prompt,TRUE,None,None,None,FALSE,Play during your activation as a Special Action,None,use timing
Take Cover,CC,Take Cover,2,attack:modifiers,defender,automatic,TRUE,None,During this round while defending,None,FALSE,Apply +1 Block and -2 Accuracy to the results,None,effect timing
Take Initiative,CC,Take Initiative,1,start_of_round,None,prompt,TRUE,None,None,None,FALSE,"Claim the initiative token, then exhaust 1 of your Deployment cards",None,None
Urgency,CC,Urgency,1,special_action,None,prompt,TRUE,None,None,None,FALSE,Gain a number of movement points equal to your Speed +2,gain_mp,None
Wookiee Rage,CC,Wookiee Rage,1,special_action,None,prompt,FALSE,up to 3 hostile figures adjacent to you,None,None,FALSE,"Each chosen figure suffers 1 Damage for each Damage you have suffered, to a maximum of 3 Damage",damage,None
Mandalorian Tactics,CC,Mandalorian Tactics,1,during_activation,None,prompt,TRUE,None,None,None,FALSE,"Choose: gain 4 movement points, OR perform an attack without spending an action",gain_mp;damage,multi-option ability
Maximum Firepower,CC,Maximum Firepower,1,special_action,None,prompt,TRUE,the attack target,None,None,FALSE,Perform an attack and apply +4 Hit to the attack results,damage,timing given as doubleActionSpecial
Meditation,CC,Meditation,1,special_action,None,prompt,TRUE,None,None,None,FALSE,"You become Focused; once during your next activation, if you are a Force User, you may perform an attack targeting an adjacent figure without spending an action",condition;damage,None
Opportunistic,CC,Opportunistic,1,when_suffers_damage,None,prompt,TRUE,None,After a hostile figure suffers Damage,None,FALSE,You gain 3 movement points,gain_mp,trigger is a hostile figure suffering damage
Shoot the Messenger,CC,Shoot the Messenger,1,attack:after_resolves,attacker,prompt,TRUE,None,The defender was defeated,None,FALSE,Your opponent discards the top 3 cards of their Command deck,None,None
